tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-death-comments,animal-exact-date-of-birth,animal-life-stage,animal-ring-id,animal-sex,attachment-type,deployment-end-comments,deployment-id,manipulation-type,study-site,tag-manufacturer-name,tag-mass,tag-readout-method
"26400",26400a,Aquila chrysaetos,1999-10-02 00:00:00.000,2000-06-12 23:59:59.000,,1999-07-04 00:00:00.000,HY,629-42582,m,harness,Stop transmit 12 June 2000 - voltage failure - no recover,26400a,none,"Goshute Mountains, NV",North Star Science and Technology,80,satellite
"26401",26401a,Aquila chrysaetos,1999-10-09 00:00:00.000,2000-04-24 23:59:59.000,,1999-07-11 00:00:00.000,HY,629-42562,m,harness,Stop transmit 24 April 2000 - voltage failure - no recover,26401a,none,"Goshute Mountains, NV",North Star Science and Technology,80,satellite
"20948",20948a,Aquila chrysaetos,2000-10-19 00:00:00.000,2001-01-07 23:59:59.000,Dead bird (late Dec/earlyJan 2000) - recovered,2000-07-21 00:00:00.000,HY,629-23838,m,harness,Dead bird (late Dec/earlyJan 2000) - recovered,20948a,none,"Goshute Mountains, NV",North Star Science and Technology,80,satellite
"20948",20948b,Aquila chrysaetos,2001-09-24 00:00:00.000,2002-06-20 23:59:59.000,,2001-06-26 00:00:00.000,HY,629-42570,f,harness,Stop transmit 20 June 2002 - good sensors - no recover,20948b,none,"Goshute Mountains, NV",North Star Science and Technology,80,satellite
"26353",26353b,Aquila chrysaetos,2001-10-04 00:00:00.000,2002-01-05 23:59:59.000,,2001-07-06 00:00:00.000,HY,0629-27782,m,harness,"Stop transmit early Jan 2002 - voltage dropping steadily but >3 at failure; temp & activity good",26353b,none,"Manzano Mountains, NM",North Star Science and Technology,80,satellite
"26359",26359b,Aquila chrysaetos,2001-10-04 00:00:00.000,2002-01-14 23:59:59.000,Dead bird (mid Jan 2002) - recovered 7 Feb 2002,2001-07-06 00:00:00.000,HY,0629-42580,m,harness,Dead bird (mid Jan 2002) - recovered 7 Feb 2002,26359b,none,"Manzano Mountains, NM",North Star Science and Technology,80,satellite
"37302",37302a,Aquila chrysaetos,2002-09-06 00:00:00.000,2005-04-27 23:59:59.000,,2001-08-02 00:00:00.000,SY,0629-29196,m,harness,Finished 4/27/05 - good sensors,37302a,none,"Goshute Mountains, NV",North Star Science and Technology,80,satellite
"37300",37300a,Aquila chrysaetos,2002-10-13 00:00:00.000,2003-09-26 23:59:59.000,,2002-07-15 00:00:00.000,HY,629-29199,m,harness,Stop transmit 26 Sep 2003 - good sensors,37300a,none,"Goshute Mountains, NV",North Star Science and Technology,80,satellite
"37301",37301a,Aquila chrysaetos,2002-10-13 00:00:00.000,2003-02-01 23:59:59.000,Dead bird (late Jan 2003) - recovered,2002-07-15 00:00:00.000,HY,629-29197,m,harness,Dead bird (late Jan 2003) - recovered,37301a,none,"Goshute Mountains, NV",North Star Science and Technology,80,satellite
"37303",37303a,Aquila chrysaetos,2002-10-15 00:00:00.000,2003-09-07 23:59:59.000,,2002-07-17 00:00:00.000,HY,0629-27796,f,harness,Stop transmit 9/7/03 - good sensors,37303a,none,"Manzano Mountains, NM",North Star Science and Technology,80,satellite
"37304",37304a,Aquila chrysaetos,2002-10-15 00:00:00.000,2004-03-21 23:59:59.000,,2002-07-17 00:00:00.000,HY,0629-29185,m,harness,Stop transmit 3/21/04 - good sensors,37304a,none,"Manzano Mountains, NM",North Star Science and Technology,80,satellite
"37433",37433a,Aquila chrysaetos,2002-10-15 00:00:00.000,2003-08-27 23:59:59.000,,2002-07-17 00:00:00.000,HY,629-29198,m,harness,"Stop transmit 27 Aug 2003 - voltage unstable and dropping steadily, though still averaging >3 at failure; otherwise good sensors",37433a,none,"Goshute Mountains, NV",North Star Science and Technology,80,satellite
"37305",37305a,Aquila chrysaetos,2002-10-16 00:00:00.000,2004-04-07 23:59:59.000,,2002-07-18 00:00:00.000,HY,0629-27797,m,harness,Stop transmit 07 Apr 04 - mixed sensor messages (activity counter failed 9/27/03?) but alive through at least Jan 04 - no recover,37305a,none,"Manzano Mountains, NM",North Star Science and Technology,80,satellite
